Customer_ID,Age,Gender,City,Annual_Income,Website_Visits,Orders,Satisfaction_Score,Annual_Spending
1001,56,Female,Cairo,70662.0,5,2,3.1,840.6
1002,46,Female,Cairo,116506.0,8,2,4.0,787.89
1003,32,Female,Cairo,30688.0,4,2,4.5,929.68
1004,60,Female,Giza,43342.0,5,3,1.0,826.65
1005,25,Female,Mansoura,55157.0,4,2,3.6,850.25
1006,38,Female,Mansoura,85863.0,6,3,3.6,1199.4
1007,56,Male,Cairo,70083.0,5,3,3.4,985.55
1008,36,Male,Cairo,,5,3,3.9,1611.46
1009,40,Male,Mansoura,107045.0,3,2,4.2,1184.03
1010,28,Male,Cairo,52698.0,3,2,3.8,895.43
1011,28,Male,Giza,98623.0,3,1,3.4,856.58
1012,41,Female,Mansoura,40671.0,6,1,4.2,880.2
1013,53,Female,Mansoura,43184.0,4,2,3.7,676.14
1014,57,Female,Mansoura,111384.0,13,4,3.5,1542.39
1015,41,Female,Mansoura,60107.0,8,3,2.7,956.29
1016,20,Female,Giza,104202.0,4,1,2.4,670.07
1017,39,Male,Mansoura,69663.0,7,3,2.6,1018.36
1018,19,Male,Cairo,33708.0,4,2,3.9,902.96
1019,41,Male,Alexandria,109906.0,8,4,3.6,1476.83
1020,47,Male,Cairo,67811.0,8,3,2.5,1240.01
1021,55,Female,Cairo,20811.0,5,3,4.2,731.02
1022,19,Female,Giza,74250.0,7,3,4.8,1487.41
1023,38,Female,Giza,90082.0,3,2,3.2,1306.65
1024,50,Male,Giza,52754.0,6,1,,673.53
1025,29,Female,Mansoura,113742.0,12,8,3.1,1914.02
1026,39,Male,Mansoura,29411.0,5,2,4.4,999.83
1027,42,Female,Cairo,20911.0,8,3,4.1,1130.42
1028,44,Female,Cairo,85270.0,7,2,3.0,1071.18
1029,59,Male,Giza,101763.0,9,4,4.9,1525.4
1030,45,Female,Mansoura,26680.0,4,1,4.8,869.11
1031,33,Female,Giza,102896.0,7,2,3.1,1092.17
1032,32,Male,Alexandria,101879.0,6,3,3.1,1165.05
1033,20,Female,Cairo,89295.0,9,4,3.2,1522.02
1034,54,Male,Mansoura,106614.0,4,2,3.3,738.19
1035,24,Female,Alexandria,118689.0,5,3,4.5,1736.95
1036,38,Female,Cairo,29111.0,3,1,4.0,571.08
1037,26,Female,Giza,55504.0,5,2,4.4,958.71
1038,56,Female,Mansoura,19802.0,6,1,4.2,719.01
1039,35,Female,Cairo,26155.0,8,4,5.0,1592.93
1040,21,Female,Alexandria,91656.0,6,2,2.9,1175.3
1041,42,Female,Giza,57384.0,2,1,4.0,620.42
1042,31,Female,Cairo,65254.0,8,4,2.0,1160.96
1043,26,Male,Giza,39918.0,4,2,2.6,440.4
1044,43,Male,Cairo,103981.0,5,1,3.6,756.44
1045,19,Female,Giza,78713.0,2,1,4.0,648.81
1046,37,Female,Alexandria,48306.0,7,4,3.6,1187.73
1047,45,Male,Cairo,34646.0,13,3,3.2,1187.4
1048,24,Female,Cairo,64843.0,6,2,3.4,967.5
1049,25,Female,Giza,114601.0,7,4,4.8,1640.5
